冊次,課次,選文,生字
一上單元一,第一課,上學歌,高笑背包校見老同問個
一上單元一,第二課,小書包,書外送身真要本放文作
一上單元一,第三課,早操,操起得做鳥跳枝跑陽光
一上單元一,第四課,奶奶笑了,奶了回到看都就給拿故
一上單元一,第五課,大還是小,時候很穿衣更着自己長
一上單元二,第六課,菜市場,菜市今跟冬瓜色豆白買
一上單元二,第七課,把太陽送給媽媽,把雨沒睜眼睛急許抬直
一上單元二,第八課,膽小的爸爸,說答每次過抓住才路開 
一上單元二,第九課,沙灘上的腳印,沙腳前後海浪快歌皮追 
一上單元二,第十課,打掃房子,打房新們桌板洗收弟現
一下單元一,第一課,小雨傘,傘蝶池塘荷葉蛙滴樹家
一下單元一,第二課,雨點兒,清點兒半空哪裏久方綠
一下單元一,第三課,荷葉圓圓,圓眨晶停展涼帽美躺臉
一下單元一,第四課,春天,話醒澡風頭捉泥種陪遊
一下單元一,第五課,白雲,雲孩最學習常飛腰躲耍
一下單元二,第六課,雪地裏的小畫家,雪竹筆步加睡洞狗鴨羣
一下單元二,第八課,美麗的中華白海豚,游運動道像可愛會波名
一下單元二,第九課,大熊貓,奇胖滑喜爪抱逗鮮短黑
一下單元二,第十課,南極的主人,冷冰盼因當近東西交主
一下單元二,第七課,小壁虎借尾巴,借尾咬逃向誰行爬河魚  
二上單元一,第一課,文具的家,丟然所平此細檢查尺助已經
二上單元一,第二課,一分鐘,鐘哈等字公共汽決低位非悔
二上單元一,第三課,玲玲的畫,意評紙弄哭另及別隻梯滿成
二上單元一,第四課,小心眼,神受請計卡寫錯怪感接謝物
二上單元一,第五課,買食物,昨件求店員容氣結忘表張反
二上單元二,第六課,露珠,露珠晨園發麗珍撒升那顆油
二上單元二,第七課,風在哪兒,吹駛輕舞窗奏聽翻頁揮扇浮
二上單元二,第八課,在海裏,洋植松針獅象擺搖原趴金黃
二上單元二,第九課,多彩的賀卡,彩賀森祝願壯樂呼揚朝造未
