學段,單元,課,生字
一上,單元一,一：上學歌,"高,笑,背,包,校,見,老,同,問,個"
一上,單元一,二：小書包,"書,外,送,身,真,要,本,放,文,作"
一上,單元一,三：早操,"操,起,得,做,鳥,跳,枝,跑,陽,光"
一上,單元一,四：奶奶笑了,"奶,了,回,到,看,都,就,給,拿,故"
一上,單元一,五：大還是小,"時,候,很,穿,衣,更,着,自,己,長"
一上,單元二,六：菜市場,"菜,市,今,跟,冬,瓜,色,豆,白,買"
一上,單元二,七：把太陽送給媽媽,"把,雨,沒,睜,眼,睛,急,許,抬,直"
一上,單元二,八：膽小的爸爸,"說,答,每,次,過,抓,住,才,路,開"
一上,單元二,九：沙灘上的腳印,"沙,腳,前,後,海,浪,快,歌,皮,追"
一上,單元二,十：打掃房子,"打,房,新,們,桌,板,洗,收,弟,現"
一下,單元一,一：小雨傘,"傘,蝶,池,塘,荷,葉,蛙,滴,樹,家"
一下,單元一,二：雨點兒,"清,點,兒,半,空,哪,裏,久,方,綠"
一下,單元一,三：荷葉圓圓,"圓,眨,晶,停,展,涼,帽,美,躺,臉"
一下,單元一,四：春天,"話,醒,澡,風,頭,捉,泥,種,陪,遊"
一下,單元一,五：白雲,"雲,孩,最,學,習,常,飛,腰,躲,耍"
一下,單元二,六：雪地裏的小畫家,"雪,竹,筆,步,加,睡,洞,狗,鴨,羣"
一下,單元二,八：美麗的中華白海豚,"游,運,動,道,像,可,愛,會,波,名"
一下,單元二,九：大熊貓,"奇,胖,滑,喜,爪,抱,逗,鮮,短,黑"
一下,單元二,十：南極的主人,"冷,冰,盼,因,當,近,東,西,交,主"
一下,單元二,七：小壁虎借尾巴,"借,尾,咬,逃,向,誰,行,爬,河,魚"
二上,單元一,一：文具的家,"丟,然,所,平,此,細,檢,查,尺,助,已,經"
二上,單元一,二：一分鐘,"鐘,哈,等,字,公,共,汽,決,低,位,非,悔"
二上,單元一,三：玲玲的畫,"意,評,紙,弄,哭,另,及,別,隻,梯,滿,成"
二上,單元一,四：小心眼,"神,受,請,計,卡,寫,錯,怪,感,接,謝,物"
二上,單元一,五：買食物,"昨,件,求,店,員,容,氣,結,忘,表,張,反"
二上,單元二,六：露珠,"露,珠,晨,園,發,麗,珍,撒,升,那,顆,油"
二上,單元二,七：風在哪兒,"吹,駛,輕,舞,窗,奏,聽,翻,頁,揮,扇,浮"
二上,單元二,八：在海裏,"洋,植,松,針,獅,象,擺,搖,原,趴,金,黃"
二上,單元二,九：多彩的賀卡,"彩,賀,森,祝,願,壯,樂,呼,揚,朝,造,未"
二上,單元二,十：找春天,"脫,棉,衝,奔,野,害,姑,娘,探,吐,解,凍"
