詞語（必填）,分類標籤（可留空）,細分類（可留空）
上學 太陽  小朋友 為甚麼 書包 學校 老師 同學 ,一上單元一,上學歌
 外婆 身上 神氣 書本 整齊 漂亮 文具  作用  天天,一上單元一,小書包
早操  樹葉 樹枝 蜜蜂  花朵  陽光,一上單元一,早操
奶奶 放學   看見 生病 照顧 開水 蘋果 故事 高興,一上單元一,奶奶笑了
有時候 覺得 自己 衣服 鞋帶 門鈴  聽到 雷聲 希望 長大  ,一上單元一,大還是小
市場  今天 跟着  黃色 香蕉 白菜 新鮮 番茄 營養 回家,一上單元二,菜市場
下雨  沒有   眼睛 着急 許多 那裏  擋雨 抬頭 回來 金色 一直,一上單元二,把太陽送給媽媽
膽小 這樣  回答 每次 馬路  總是 緊緊 抓住 穿過 放開,一上單元二,膽小的爸爸
沙灘  腳印  海浪 歡快  調皮 ,一上單元二,沙灘上的腳印
打掃 房子 新年 我們 一起  窗戶 桌子 地板   收拾 乾乾淨淨   弟弟 現在 明亮   ,一上單元二,打掃房子
雨傘 草地 蝴蝶 池塘 荷葉 青蛙 樹林 蘑菇 螞蟻 大家,一下單元一,小雨傘
數不清  哪裏 回答 地方 不久 ,一下單元一,雨點兒
搖籃 亮晶晶 蜻蜓  展開 翅膀 青蛙 舞台 歌唱 涼帽 笑嘻嘻 綠油油 臉蛋,一下單元一,荷葉圓圓
柳樹 說話 洗澡 春風 梳頭 捉迷藏 旅遊 泥土 種子,一下單元一,春天
白雲 孩子 學習 常常 模仿  飛跑 山腰 追逐 玩耍 一會兒 魔術師  天空 千變萬化,一下單元一,白雲
畫家 下雪 小雞 竹葉 小狗 梅花 小鴨 楓葉 小馬 月牙 顔料  參加 睡着 ,一下單元二,雪地裏的小畫家
海豚 可愛 娃娃 波浪 小船 好像  妹妹  游泳 運動  美麗 彩虹,一下單元二,美麗的中華白海豚
珍奇 動物 可愛 胖乎乎 毛茸茸 黑眼圈 活潑 活動 喜歡 新鮮 ,一下單元二,大熊貓
夏天  一搖一擺 十足 靠近 怎麼辦 東張西望 交頭接耳   成群結隊 生氣 主人 東西,一下單元二,南極的主人
壁虎  尾巴  蚊子 咬住  逃走 難看  不行 河邊   燕子 阿姨 掌握 方向 難過 告訴 轉身 高興 ,一下單元二,小壁虎借尾巴
鉛筆 橡皮擦   當然 所以 每天 趕緊  怎麼 平安  文具盒 從此 仔細  檢查 尺子 所有 助手 已經,二上單元一,文具的家
鬧鐘 哈欠 心想 遲到   起來  過去 公共汽車 影子  決定 上課 座位 手錶  非常 後悔,二上單元一,一分鐘
得意 端詳 評獎 時間 收拾 傷心 報紙 來不及 懶洋洋 滿意 想像 動腦筋 變成,二上單元一,玲玲的畫
背後 說話 神祕  難受  走廊  設計  生日卡 小心眼 錯怪 感動 接過  謝謝 禮物,二上單元一,小心眼
負責 主動 要求   反反覆覆 汽水 勇氣 結結巴巴 終於 快步 慌忙 轉身   悄悄  剛才 表現 經歷 緊張 ,二上單元一,買食物
露珠 早晨 花園 閃閃發光 珍珠 晶亮 怎麼 綠油油 葉子 紅豔豔 花瓣 ,二上單元二,露珠
帆船  行駛 舞蹈 搖晃 風鈴 好聽 翻開  揮動 扇子,二上單元二,風在哪兒
大地 多姿多彩 花草樹木  海洋 植物 千姿百態  獅子  大象 飛快 不過  搖擺 草原  金黃 笑臉 ,二上單元二,在海裏
賀卡 森林  祝願 樹苗 茁壯成長  歡樂 藍天  呼喚 飛翔 白鴿 貝殻 風帆 祕密 探索   珍惜  創造 未來,二上單元二,多彩的賀卡
田野  尋找  害羞 姑娘 躲躲藏藏 眉毛 嫩芽 音符 解凍 琴聲 盪秋千 風箏  枝頭,二上單元二,找春天
烏鴉 食物 不禁 孩子 辛辛苦苦 口水直流 主意 美妙  得意 急忙  已經 ,二下單元一,狐狸和烏鴉
冬天 特別 寒冷 幸福 遠道而來 張望 摔倒 禮貌 粗魯  身體 温度 融化 冰冷 應該 聽從 勸告 破裂 ,二下單元一,騾子和冰
寂寞 無聊 決定 商店 簡單 招牌 顧客 工夫 終於 圍巾  匆忙 原來,二下單元一,蜘蛛開店
連蹦帶跳 願意 四周 吃驚 夥伴 認真 知道 到底 親切 小心 連忙,二下單元一,小馬過河
動物 王國 老虎 狗熊 通知 喇叭  注意 道理 腦袋   廣場 準時 明白 因為 地點 ,二下單元一,動物王國開大會
夜景 拍照 錄像 興奮 高樓大廈 兩岸 路燈 柔和 五顏六色 欣賞 衣裳 不斷,二下單元二,東方之珠
目的地 乘搭 探望  肚子 動聽 午飯 表演 配合 列車 各種 訓練  觀賞 遊戲  哈哈大笑 依依不捨 ,二下單元二,遊海洋公園
總是 下班 西裝 圍裙 廚房 專心 形狀  雞蛋  回來 晚餐,二下單元二,香噴噴的夢
