詞語,第二層級,第三層級
上學,一上單元一,上學歌
太陽,一上單元一,上學歌
小朋友,一上單元一,上學歌
為甚麼,一上單元一,上學歌
書包,一上單元一,上學歌
學校,一上單元一,上學歌
老師,一上單元一,上學歌
同學,一上單元一,上學歌
外婆,一上單元一,小書包
身上,一上單元一,小書包
神氣,一上單元一,小書包
書本,一上單元一,小書包
整齊,一上單元一,小書包
漂亮,一上單元一,小書包
文具,一上單元一,小書包
作用,一上單元一,小書包
天天,一上單元一,小書包
早操,一上單元一,早操
樹葉,一上單元一,早操
樹枝,一上單元一,早操
蜜蜂,一上單元一,早操
花朵,一上單元一,早操
陽光,一上單元一,早操
奶奶,一上單元一,奶奶笑了
放學,一上單元一,奶奶笑了
看見,一上單元一,奶奶笑了
生病,一上單元一,奶奶笑了
照顧,一上單元一,奶奶笑了
開水,一上單元一,奶奶笑了
蘋果,一上單元一,奶奶笑了
故事,一上單元一,奶奶笑了
高興,一上單元一,奶奶笑了
有時候,一上單元一,大還是小
覺得,一上單元一,大還是小
自己,一上單元一,大還是小
衣服,一上單元一,大還是小
鞋帶,一上單元一,大還是小
門鈴,一上單元一,大還是小
聽到,一上單元一,大還是小
雷聲,一上單元一,大還是小
希望,一上單元一,大還是小
長大,一上單元一,大還是小
市場,一上單元二,菜市場
今天,一上單元二,菜市場
跟着,一上單元二,菜市場
黃色,一上單元二,菜市場
香蕉,一上單元二,菜市場
白菜,一上單元二,菜市場
新鮮,一上單元二,菜市場
番茄,一上單元二,菜市場
營養,一上單元二,菜市場
回家,一上單元二,菜市場
下雨,一上單元二,把太陽送給媽媽
沒有,一上單元二,把太陽送給媽媽
眼睛,一上單元二,把太陽送給媽媽
着急,一上單元二,把太陽送給媽媽
許多,一上單元二,把太陽送給媽媽
那裏,一上單元二,把太陽送給媽媽
擋雨,一上單元二,把太陽送給媽媽
抬頭,一上單元二,把太陽送給媽媽
回來,一上單元二,把太陽送給媽媽
金色,一上單元二,把太陽送給媽媽
一直,一上單元二,把太陽送給媽媽
膽小,一上單元二,膽小的爸爸
這樣,一上單元二,膽小的爸爸
回答,一上單元二,膽小的爸爸
每次,一上單元二,膽小的爸爸
馬路,一上單元二,膽小的爸爸
總是,一上單元二,膽小的爸爸
緊緊,一上單元二,膽小的爸爸
