词语,第二层级,第三层级
愛,HSK1級,
八,HSK1級,
爸爸,HSK1級,
杯子,HSK1級,
北京,HSK1級,
本,HSK1級,
不,HSK1級,
不客氣,HSK1級,
菜,HSK1級,
茶,HSK1級,
喫,HSK1級,
出租車,HSK1級,
打電話,HSK1級,
大,HSK1級,
的,HSK1級,
點,HSK1級,
電腦,HSK1級,
電視,HSK1級,
電影,HSK1級,
東西,HSK1級,
都,HSK1級,
讀,HSK1級,
對不起,HSK1級,
多,HSK1級,
多少,HSK1級,
兒子,HSK1級,
二,HSK1級,
飯店,HSK1級,
飛機,HSK1級,
分鐘,HSK1級,
高興,HSK1級,
個,HSK1級,
工作,HSK1級,
狗,HSK1級,
漢語,HSK1級,
好,HSK1級,
號,HSK1級,
喝,HSK1級,
和,HSK1級,
很,HSK1級,
後面,HSK1級,
回,HSK1級,
會,HSK1級,
幾,HSK1級,
家,HSK1級,
叫,HSK1級,
今天,HSK1級,
九,HSK1級,
開,HSK1級,
看,HSK1級,
看見,HSK1級,
塊,HSK1級,
來,HSK1級,
老師,HSK1級,
了,HSK1級,
冷,HSK1級,
裏,HSK1級,
六,HSK1級,
媽媽,HSK1級,
嗎,HSK1級,
買,HSK1級,
貓,HSK1級,
沒關係,HSK1級,
沒有,HSK1級,
米飯,HSK1級,
名字,HSK1級,
明天,HSK1級,
哪,HSK1級,
哪兒,HSK1級,
那,HSK1級,
呢,HSK1級,
能,HSK1級,
你,HSK1級,
年,HSK1級,
女兒,HSK1級,
朋友,HSK1級,
漂亮,HSK1級,
蘋果,HSK1級,
七,HSK1級,
前面,HSK1級,
錢,HSK1級,
請,HSK1級,
去,HSK1級,
熱,HSK1級,
人,HSK1級,
認識,HSK1級,
三,HSK1級,
商店,HSK1級,
上,HSK1級,
上午,HSK1級,
少,HSK1級,
誰,HSK1級,
什麼,HSK1級,
十,HSK1級,
時候,HSK1級,
是,HSK1級,
書,HSK1級,
水,HSK1級,
水果,HSK1級,
睡覺,HSK1級,
說,HSK1級,
四,HSK1級,
歲,HSK1級,
他,HSK1級,
她,HSK1級,
太,HSK1級,
天氣,HSK1級,
聽,HSK1級,
同學,HSK1級,
喂,HSK1級,
我,HSK1級,
我們,HSK1級,
五,HSK1級,
喜歡,HSK1級,
下,HSK1級,
下午,HSK1級,
下雨,HSK1級,
先生,HSK1級,
現在,HSK1級,
想,HSK1級,
小,HSK1級,
小姐,HSK1級,
些,HSK1級,
寫,HSK1級,
謝謝,HSK1級,
星期,HSK1級,
學生,HSK1級,
學習,HSK1級,
學校,HSK1級,
一,HSK1級,
一點兒,HSK1級,
衣服,HSK1級,
醫生,HSK1級,
醫院,HSK1級,
椅子,HSK1級,
有,HSK1級,
月,HSK1級,
再見,HSK1級,
在,HSK1級,
怎麼,HSK1級,
怎麼樣,HSK1級,
這,HSK1級,
中國,HSK1級,
中午,HSK1級,
住,HSK1級,
桌子,HSK1級,
字,HSK1級,
昨天,HSK1級,
坐,HSK1級,
做,HSK1級,
吧,HSK2級,
白,HSK2級,
百,HSK2級,
幫助,HSK2級,
報紙,HSK2級,
比,HSK2級,
別,HSK2級,
賓館,HSK2級,
長,HSK2級,
唱歌,HSK2級,
出,HSK2級,
穿,HSK2級,
次,HSK2級,
從,HSK2級,
錯,HSK2級,
打籃球,HSK2級,
大家,HSK2級,
到,HSK2級,
得,HSK2級,
等,HSK2級,
弟弟,HSK2級,
第一,HSK2級,
懂,HSK2級,
對,HSK2級,
房間,HSK2級,
非常,HSK2級,
服務員,HSK2級,
高,HSK2級,
告訴,HSK2級,
哥哥,HSK2級,
給,HSK2級,
公共汽車,HSK2級,
公司,HSK2級,
貴,HSK2級,
過,HSK2級,
還,HSK2級,
孩子,HSK2級,
好喫,HSK2級,
黑,HSK2級,
紅,HSK2級,
火車站,HSK2級,
機場,HSK2級,
雞蛋,HSK2級,
件,HSK2級,
教室,HSK2級,
姐姐,HSK2級,
介紹,HSK2級,
進,HSK2級,
近,HSK2級,
就,HSK2級,
覺得,HSK2級,
咖啡,HSK2級,
開始,HSK2級,
考試,HSK2級,
可能,HSK2級,
可以,HSK2級,
課,HSK2級,
快,HSK2級,
快樂,HSK2級,
累,HSK2級,
離,HSK2級,
兩,HSK2級,
零,HSK2級,
路,HSK2級,
旅遊,HSK2級,
賣,HSK2級,
慢,HSK2級,
忙,HSK2級,
每,HSK2級,
妹妹,HSK2級,
門,HSK2級,
麪條,HSK2級,
男,HSK2級,
您,HSK2級,
牛奶,HSK2級,
女,HSK2級,
旁邊,HSK2級,
跑步,HSK2級,
便宜,HSK2級,
票,HSK2級,
妻子,HSK2級,
起牀,HSK2級,
千,HSK2級,
鉛筆,HSK2級,
晴,HSK2級,
去年,HSK2級,
讓,HSK2級,
日,HSK2級,
上班,HSK2級,
身體,HSK2級,
生病,HSK2級,
生日,HSK2級,
時間,HSK2級,
事情,HSK2級,
手錶,HSK2級,
手機,HSK2級,
說話,HSK2級,
送,HSK2級,
雖然……但是……,HSK2級,
它,HSK2級,
踢足球,HSK2級,
題,HSK2級,
跳舞,HSK2級,
外,HSK2級,
完,HSK2級,
玩,HSK2級,
晚上,HSK2級,
往,HSK2級,
爲什麼,HSK2級,
問,HSK2級,
問題,HSK2級,
西瓜,HSK2級,
希望,HSK2級,
洗,HSK2級,
小時,HSK2級,
笑,HSK2級,
新,HSK2級,
姓,HSK2級,
休息,HSK2級,
雪,HSK2級,
顏色,HSK2級,
眼睛,HSK2級,
羊肉,HSK2級,
藥,HSK2級,
要,HSK2級,
也,HSK2級,
一起,HSK2級,
一下,HSK2級,
已經,HSK2級,
意思,HSK2級,
因爲……所以……,HSK2級,
陰,HSK2級,
游泳,HSK2級,
右邊,HSK2級,
魚,HSK2級,
遠,HSK2級,
運動,HSK2級,
再,HSK2級,
早上,HSK2級,
丈夫,HSK2級,
找,HSK2級,
着,HSK2級,
真,HSK2級,
正在,HSK2級,
知道,HSK2級,
準備,HSK2級,
走,HSK2級,
最,HSK2級,
左邊,HSK2級,
阿姨,HSK3級,
啊,HSK3級,
矮,HSK3級,
愛好,HSK3級,
安靜,HSK3級,
把,HSK3級,
班,HSK3級,
搬,HSK3級,
辦法,HSK3級,
辦公室,HSK3級,
半,HSK3級,
幫忙,HSK3級,
包,HSK3級,
飽,HSK3級,
北方,HSK3級,
被,HSK3級,
鼻子,HSK3級,
比較,HSK3級,
比賽,HSK3級,
筆記本,HSK3級,
必須,HSK3級,
變化,HSK3級,
別人,HSK3級,
冰箱,HSK3級,
不但……而且……,HSK3級,
菜單,HSK3級,
參加,HSK3級,
草,HSK3級,
層,HSK3級,
差,HSK3級,
超市,HSK3級,
襯衫,HSK3級,
成績,HSK3級,
城市,HSK3級,
遲到,HSK3級,
除了,HSK3級,
船,HSK3級,
春,HSK3級,
詞典,HSK3級,
聰明,HSK3級,
打掃,HSK3級,
打算,HSK3級,
帶,HSK3級,
擔心,HSK3級,
蛋糕,HSK3級,
當然,HSK3級,
地,HSK3級,
燈,HSK3級,
地方,HSK3級,
地鐵,HSK3級,
地圖,HSK3級,
電梯,HSK3級,
電子郵件,HSK3級,
東,HSK3級,
冬,HSK3級,
動物,HSK3級,
短,HSK3級,
段,HSK3級,
鍛鍊,HSK3級,
多麼,HSK3級,
餓,HSK3級,
耳朵,HSK3級,
發,HSK3級,
發燒,HSK3級,
發現,HSK3級,
方便,HSK3級,
放,HSK3級,
放心,HSK3級,
分,HSK3級,
附近,HSK3級,
複習,HSK3級,
乾淨,HSK3級,
感冒,HSK3級,
感興趣,HSK3級,
剛纔,HSK3級,
個子,HSK3級,
根據,HSK3級,
跟,HSK3級,
更,HSK3級,
公斤,HSK3級,
公園,HSK3級,
故事,HSK3級,
颳風,HSK3級,
關,HSK3級,
關係,HSK3級,
關心,HSK3級,
關於,HSK3級,
國家,HSK3級,
過去,HSK3級,
還是,HSK3級,
害怕,HSK3級,
黑板,HSK3級,
後來,HSK3級,
護照,HSK3級,
花,HSK3級,
畫,HSK3級,
壞,HSK3級,
歡迎,HSK3級,
環境,HSK3級,
換,HSK3級,
黃河,HSK3級,
回答,HSK3級,
會議,HSK3級,
或者,HSK3級,
幾乎,HSK3級,
機會,HSK3級,
極,HSK3級,
記得,HSK3級,
季節,HSK3級,
檢查,HSK3級,
